LightCondition,RoundNo.,Treatment,ForestType,ForestNo.,ColSize,Trials,Time,No. Ants
Light,1,Visuals,RubberForest,5,7389,Plasticine cube,50,2
Light,1,Visuals,RubberForest,5,7389,Termite treated,50,0
Light,1,Visuals,RubberForest,5,7389,Empty tube,50,2
Light,1,Visuals,RubberForest,5,7389,Plasticine Caterpillar,60,1
Light,1,Visuals,RubberForest,5,7389,Plasticine cube,60,2
Light,1,Visuals,RubberForest,5,7389,Termite treated,60,0
Light,1,Visuals,RubberForest,5,7389,Empty tube,60,0
Light,1,Visuals,RubberForest,6,2094,Plasticine Caterpillar,10,3
Light,1,Visuals,RubberForest,6,2094,Plasticine cube,10,10
Light,1,Visuals,RubberForest,6,2094,Termite treated,10,30
Light,1,Visuals,RubberForest,6,2094,Empty tube,10,10
Light,1,Visuals,RubberForest,6,2094,Plasticine Caterpillar,20,6
Light,1,Visuals,RubberForest,6,2094,Plasticine cube,20,8
Light,1,Visuals,RubberForest,6,2094,Termite treated,20,30
Light,1,Visuals,RubberForest,6,2094,Empty tube,20,10
Light,1,Visuals,RubberForest,6,2094,Plasticine Caterpillar,30,2
Light,1,Visuals,RubberForest,6,2094,Plasticine cube,30,10
Light,1,Visuals,RubberForest,6,2094,Termite treated,30,10
Light,1,Visuals,RubberForest,6,2094,Empty tube,30,5
Light,1,Visuals,RubberForest,6,2094,Plasticine Caterpillar,40,3
Light,1,Visuals,RubberForest,6,2094,Plasticine cube,40,5
Light,1,Visuals,RubberForest,6,2094,Termite treated,40,10
Light,1,Visuals,RubberForest,6,2094,Empty tube,40,1
Light,1,Visuals,RubberForest,6,2094,Plasticine Caterpillar,50,1
Light,1,Visuals,RubberForest,6,2094,Plasticine cube,50,3
Light,1,Visuals,RubberForest,6,2094,Termite treated,50,5
Light,1,Visuals,RubberForest,6,2094,Empty tube,50,2
Light,1,Visuals,RubberForest,6,2094,Plasticine Caterpillar,60,1
Light,1,Visuals,RubberForest,6,2094,Plasticine cube,60,0
Light,1,Visuals,RubberForest,6,2094,Termite treated,60,5
Light,1,Visuals,RubberForest,6,2094,Empty tube,60,2
Light,2,Visuals,Rainforest,1,8293,Plasticine Caterpillar,10,0
Light,2,Visuals,Rainforest,1,8293,Plasticine cube,10,1
Light,2,Visuals,Rainforest,1,8293,Termite treated,10,0
Light,2,Visuals,Rainforest,1,8293,Empty tube,10,0
Light,2,Visuals,Rainforest,1,8293,Plasticine Caterpillar,20,0
Light,2,Visuals,Rainforest,1,8293,Plasticine cube,20,2
Light,2,Visuals,Rainforest,1,8293,Termite treated,20,3
Light,2,Visuals,Rainforest,1,8293,Empty tube,20,0
Light,2,Visuals,Rainforest,1,8293,Plasticine Caterpillar,30,0
Light,2,Visuals,Rainforest,1,8293,Plasticine cube,30,3
Light,2,Visuals,Rainforest,1,8293,Termite treated,30,1
Light,2,Visuals,Rainforest,1,8293,Empty tube,30,1
Light,2,Visuals,Rainforest,1,8293,Plasticine Caterpillar,40,1
Light,2,Visuals,Rainforest,1,8293,Plasticine cube,40,0
Light,2,Visuals,Rainforest,1,8293,Termite treated,40,0
Light,2,Visuals,Rainforest,1,8293,Empty tube,40,1
Light,2,Visuals,Rainforest,1,8293,Plasticine Caterpillar,50,0
Light,2,Visuals,Rainforest,1,8293,Plasticine cube,50,2
Light,2,Visuals,Rainforest,1,8293,Termite treated,50,2
Light,2,Visuals,Rainforest,1,8293,Empty tube,50,1
Light,2,Visuals,Rainforest,1,8293,Plasticine Caterpillar,60,0
Light,2,Visuals,Rainforest,1,8293,Plasticine cube,60,3
Light,2,Visuals,Rainforest,1,8293,Termite treated,60,4
Light,2,Visuals,Rainforest,1,8293,Empty tube,60,1
Light,2,Visuals,Rainforest,2,1407,Plasticine Caterpillar,10,0
Light,2,Visuals,Rainforest,2,1407,Plasticine cube,10,0
Light,2,Visuals,Rainforest,2,1407,Termite treated,10,0
Light,2,Visuals,Rainforest,2,1407,Empty tube,10,0
Light,2,Visuals,Rainforest,2,1407,Plasticine Caterpillar,20,0
Light,2,Visuals,Rainforest,2,1407,Plasticine cube,20,0
Light,2,Visuals,Rainforest,2,1407,Termite treated,20,0
Light,2,Visuals,Rainforest,2,1407,Empty tube,20,0
Light,2,Visuals,Rainforest,2,1407,Plasticine Caterpillar,30,0
Light,2,Visuals,Rainforest,2,1407,Plasticine cube,30,0
Light,2,Visuals,Rainforest,2,1407,Termite treated,30,0
Light,2,Visuals,Rainforest,2,1407,Empty tube,30,0
Light,2,Visuals,Rainforest,2,1407,Plasticine Caterpillar,40,0
Light,2,Visuals,Rainforest,2,1407,Plasticine cube,40,1
Light,2,Visuals,Rainforest,2,1407,Termite treated,40,1
Light,2,Visuals,Rainforest,2,1407,Empty tube,40,0
Light,2,Visuals,Rainforest,2,1407,Plasticine Caterpillar,50,0
Light,2,Visuals,Rainforest,2,1407,Plasticine cube,50,0
Light,2,Visuals,Rainforest,2,1407,Termite treated,50,1
Light,2,Visuals,Rainforest,2,1407,Empty tube,50,1
Light,2,Visuals,Rainforest,2,1407,Plasticine Caterpillar,60,0
Light,2,Visuals,Rainforest,2,1407,Plasticine cube,60,0
Light,2,Visuals,Rainforest,2,1407,Termite treated,60,1
Light,2,Visuals,Rainforest,2,1407,Empty tube,60,0
Light,2,Visuals,Rainforest,3,16964,Plasticine Caterpillar,10,0
Light,2,Visuals,Rainforest,3,16964,Plasticine cube,10,2
Light,2,Visuals,Rainforest,3,16964,Termite treated,10,2
Light,2,Visuals,Rainforest,3,16964,Empty tube,10,21
Light,2,Visuals,Rainforest,3,16964,Plasticine Caterpillar,20,2
Light,2,Visuals,Rainforest,3,16964,Plasticine cube,20,0
Light,2,Visuals,Rainforest,3,16964,Termite treated,20,10
Light,2,Visuals,Rainforest,3,16964,Empty tube,20,22
Light,2,Visuals,Rainforest,3,16964,Plasticine Caterpillar,30,1
Light,2,Visuals,Rainforest,3,16964,Plasticine cube,30,3
Light,2,Visuals,Rainforest,3,16964,Termite treated,30,3
Light,2,Visuals,Rainforest,3,16964,Empty tube,30,17
Light,2,Visuals,Rainforest,3,16964,Plasticine Caterpillar,40,1
Light,2,Visuals,Rainforest,3,16964,Plasticine cube,40,8
Light,2,Visuals,Rainforest,3,16964,Termite treated,40,8
Light,2,Visuals,Rainforest,3,16964,Empty tube,40,15
Light,2,Visuals,Rainforest,3,16964,Plasticine Caterpillar,50,1
Light,2,Visuals,Rainforest,3,16964,Plasticine cube,50,6
Light,2,Visuals,Rainforest,3,16964,Termite treated,50,6
Light,2,Visuals,Rainforest,3,16964,Empty tube,50,11
Light,2,Visuals,Rainforest,3,16964,Plasticine Caterpillar,60,5
Light,2,Visuals,Rainforest,3,16964,Plasticine cube,60,5
Light,2,Visuals,Rainforest,3,16964,Termite treated,60,5
Light,2,Visuals,Rainforest,3,16964,Empty tube,60,16
Light,2,Visuals,RubberForest,4,879,Plasticine Caterpillar,10,6
Light,2,Visuals,RubberForest,4,879,Plasticine cube,10,1
Light,2,Visuals,RubberForest,4,879,Termite treated,10,1
Light,2,Visuals,RubberForest,4,879,Empty tube,10,0
,,,RubberForest,4,879,Plasticine Caterpillar,20,6
,,,RubberForest,4,879,Plasticine cube,20,0
,,,RubberForest,4,879,Termite treated,20,1
,,,RubberForest,4,879,Empty tube,20,1
,,,RubberForest,4,879,Plasticine Caterpillar,30,0
,,,RubberForest,4,879,Plasticine cube,30,0
,,,RubberForest,4,879,Termite treated,30,1
,,,RubberForest,4,879,Empty tube,30,5
,,,RubberForest,4,879,Plasticine Caterpillar,40,1
,,,RubberForest,4,879,Plasticine cube,40,1
,,,RubberForest,4,879,Termite treated,40,2
,,,RubberForest,4,879,Empty tube,40,4
,,,RubberForest,4,879,Plasticine Caterpillar,50,1
,,,RubberForest,4,879,Plasticine cube,50,1
,,,RubberForest,4,879,Termite treated,50,1
,,,RubberForest,4,879,Empty tube,50,6
,,,RubberForest,4,879,Plasticine Caterpillar,60,0
,,,RubberForest,4,879,Plasticine cube,60,0
,,,RubberForest,4,879,Termite treated,60,2
,,,RubberForest,4,879,Empty tube,60,0
Light,2,Visuals,RubberForest,5,7389,Plasticine Caterpillar,10,1
Light,2,Visuals,RubberForest,5,7389,Plasticine cube,10,3
Light,2,Visuals,RubberForest,5,7389,Termite treated,10,0
Light,2,Visuals,RubberForest,5,7389,Empty tube,10,0
,,,RubberForest,5,7389,Plasticine Caterpillar,20,0
,,,RubberForest,5,7389,Plasticine cube,20,1
,,,RubberForest,5,7389,Termite treated,20,0
,,,RubberForest,5,7389,Empty tube,20,0
,,,RubberForest,5,7389,Plasticine Caterpillar,30,1
,,,RubberForest,5,7389,Plasticine cube,30,1
,,,RubberForest,5,7389,Termite treated,30,0
,,,RubberForest,5,7389,Empty tube,30,1
,,,RubberForest,5,7389,Plasticine Caterpillar,40,2
,,,RubberForest,5,7389,Plasticine cube,40,1
,,,RubberForest,5,7389,Termite treated,40,0
,,,RubberForest,5,7389,Empty tube,40,1
,,,RubberForest,5,7389,Plasticine Caterpillar,50,0
,,,RubberForest,5,7389,Plasticine cube,50,0
,,,RubberForest,5,7389,Termite treated,50,0
,,,RubberForest,5,7389,Empty tube,50,0
,,,RubberForest,5,7389,Plasticine Caterpillar,60,0
,,,RubberForest,5,7389,Plasticine cube,60,0
,,,RubberForest,5,7389,Termite treated,60,0
,,,RubberForest,5,7389,Empty tube,60,0
Light,2,Visuals,RubberForest,6,2094,Plasticine Caterpillar,10,2
Light,2,Visuals,RubberForest,6,2094,Plasticine cube,10,6
Light,2,Visuals,RubberForest,6,2094,Termite treated,10,1
Light,2,Visuals,RubberForest,6,2094,Empty tube,10,1
,,,RubberForest,6,2094,Plasticine Caterpillar,20,9
,,,RubberForest,6,2094,Plasticine cube,20,8
,,,RubberForest,6,2094,Termite treated,20,4
,,,RubberForest,6,2094,Empty tube,20,1
,,,RubberForest,6,2094,Plasticine Caterpillar,30,4
,,,RubberForest,6,2094,Plasticine cube,30,7
,,,RubberForest,6,2094,Termite treated,30,2
,,,RubberForest,6,2094,Empty tube,30,2
,,,RubberForest,6,2094,Plasticine Caterpillar,40,2
,,,RubberForest,6,2094,Plasticine cube,40,5
,,,RubberForest,6,2094,Termite treated,40,4
,,,RubberForest,6,2094,Empty tube,40,2
,,,RubberForest,6,2094,Plasticine Caterpillar,50,5
,,,RubberForest,6,2094,Plasticine cube,50,1
,,,RubberForest,6,2094,Termite treated,50,4
,,,RubberForest,6,2094,Empty tube,50,2
,,,RubberForest,6,2094,Plasticine Caterpillar,60,0
,,,RubberForest,6,2094,Plasticine cube,60,1
,,,RubberForest,6,2094,Termite treated,60,2
,,,RubberForest,6,2094,Empty tube,60,2
