Condition,RoundNo.,ForestType,ForestNo.,ColSize,food_type,supplied_by,Trials,Time,No.Ants
Light,1,RubberForest,4,879,tuna,cube,tuna_cube,50,0
Light,1,RubberForest,4,879,tuna,cube,tuna_cube,60,0
Light,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,10,1
Light,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,20,2
Light,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,30,0
Light,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,40,0
Light,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,50,0
Light,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,60,0
Light,1,RubberForest,5,7389,termite,cube,termite_cube,10,0
Light,1,RubberForest,5,7389,termite,cube,termite_cube,20,0
Light,1,RubberForest,5,7389,termite,cube,termite_cube,30,0
Light,1,RubberForest,5,7389,termite,cube,termite_cube,40,0
Light,1,RubberForest,5,7389,termite,cube,termite_cube,50,0
Light,1,RubberForest,5,7389,termite,cube,termite_cube,60,1
Light,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,10,1
Light,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,20,0
Light,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,30,0
Light,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,40,0
Light,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,50,0
Light,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,60,0
Light,1,RubberForest,5,7389,tuna,cube,tuna_cube,10,0
Light,1,RubberForest,5,7389,tuna,cube,tuna_cube,20,0
Light,1,RubberForest,5,7389,tuna,cube,tuna_cube,30,0
Light,1,RubberForest,5,7389,tuna,cube,tuna_cube,40,0
Light,1,RubberForest,5,7389,tuna,cube,tuna_cube,50,0
Light,1,RubberForest,5,7389,tuna,cube,tuna_cube,60,0
Light,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,10,0
Light,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,20,0
Light,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,30,1
Light,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,40,1
Light,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,50,0
Light,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,60,2
Light,1,RubberForest,6,2094,termite,cube,termite_cube,10,0
Light,1,RubberForest,6,2094,termite,cube,termite_cube,20,0
Light,1,RubberForest,6,2094,termite,cube,termite_cube,30,0
Light,1,RubberForest,6,2094,termite,cube,termite_cube,40,0
Light,1,RubberForest,6,2094,termite,cube,termite_cube,50,0
Light,1,RubberForest,6,2094,termite,cube,termite_cube,60,0
Light,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,10,0
Light,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,20,0
Light,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,30,0
Light,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,40,0
Light,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,50,0
Light,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,60,0
Light,1,RubberForest,6,2094,tuna,cube,tuna_cube,10,0
Light,1,RubberForest,6,2094,tuna,cube,tuna_cube,20,1
Light,1,RubberForest,6,2094,tuna,cube,tuna_cube,30,0
Light,1,RubberForest,6,2094,tuna,cube,tuna_cube,40,0
Light,1,RubberForest,6,2094,tuna,cube,tuna_cube,50,1
Light,1,RubberForest,6,2094,tuna,cube,tuna_cube,60,2
Light,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,10,0
Light,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,20,0
Light,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,30,0
Light,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,40,0
Light,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,50,0
Light,1,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,60,0
Light,2,Rainforest,1,8293,termite,cube,termite_cube,10,0
Light,2,Rainforest,1,8293,termite,cube,termite_cube,20,0
Light,2,Rainforest,1,8293,termite,cube,termite_cube,30,0
Light,2,Rainforest,1,8293,termite,cube,termite_cube,40,0
Light,2,Rainforest,1,8293,termite,cube,termite_cube,50,0
Light,2,Rainforest,1,8293,termite,cube,termite_cube,60,0
Light,2,Rainforest,1,8293,termite,caterpillar,termite_caterpillar,10,3
Light,2,Rainforest,1,8293,termite,caterpillar,termite_caterpillar,20,4
Light,2,Rainforest,1,8293,termite,caterpillar,termite_caterpillar,30,4
Light,2,Rainforest,1,8293,termite,caterpillar,termite_caterpillar,40,5
Light,2,Rainforest,1,8293,termite,caterpillar,termite_caterpillar,50,2
Light,2,Rainforest,1,8293,termite,caterpillar,termite_caterpillar,60,3
Light,2,Rainforest,1,8293,tuna,cube,tuna_cube,10,3
Light,2,Rainforest,1,8293,tuna,cube,tuna_cube,20,2
Light,2,Rainforest,1,8293,tuna,cube,tuna_cube,30,3
Light,2,Rainforest,1,8293,tuna,cube,tuna_cube,40,6
Light,2,Rainforest,1,8293,tuna,cube,tuna_cube,50,2
Light,2,Rainforest,1,8293,tuna,cube,tuna_cube,60,5
Light,2,Rainforest,1,8293,tuna,caterpillar,tuna_caterpillar,10,1
Light,2,Rainforest,1,8293,tuna,caterpillar,tuna_caterpillar,20,0
Light,2,Rainforest,1,8293,tuna,caterpillar,tuna_caterpillar,30,0
Light,2,Rainforest,1,8293,tuna,caterpillar,tuna_caterpillar,40,1
Light,2,Rainforest,1,8293,tuna,caterpillar,tuna_caterpillar,50,0
Light,2,Rainforest,1,8293,tuna,caterpillar,tuna_caterpillar,60,0
Light,2,Rainforest,2,1407,termite,cube,termite_cube,10,0
Light,2,Rainforest,2,1407,termite,cube,termite_cube,20,0
Light,2,Rainforest,2,1407,termite,cube,termite_cube,30,0
Light,2,Rainforest,2,1407,termite,cube,termite_cube,40,0
Light,2,Rainforest,2,1407,termite,cube,termite_cube,50,3
Light,2,Rainforest,2,1407,termite,cube,termite_cube,60,2
Light,2,Rainforest,2,1407,termite,caterpillar,termite_caterpillar,10,0
Light,2,Rainforest,2,1407,termite,caterpillar,termite_caterpillar,20,0
Light,2,Rainforest,2,1407,termite,caterpillar,termite_caterpillar,30,0
Light,2,Rainforest,2,1407,termite,caterpillar,termite_caterpillar,40,1
Light,2,Rainforest,2,1407,termite,caterpillar,termite_caterpillar,50,0
Light,2,Rainforest,2,1407,termite,caterpillar,termite_caterpillar,60,0
Light,2,Rainforest,2,1407,tuna,cube,tuna_cube,10,0
